ReportingArea,MMWRYear,MMWRWeek,IPD_all,IPD_u5,IPD_o5,School,sub_region_1,mmwr_week,7dayavg_retail_rec,7dayavg_grocery,7dayavg_parks,7dayavg_transit,7dayavg_work,7dayavg_res
ALABAMA,2016,1,6,0,6,0,,,,,,,,
ALASKA,2016,1,1,0,1,0,,,,,,,,
ARIZONA,2016,1,33,2,31,0,,,,,,,,
ARKANSAS,2016,1,1,0,1,0,,,,,,,,
FLORIDA,2016,1,29,3,26,0,,,,,,,,
GEORGIA,2016,1,8,0,8,0,,,,,,,,
MAINE,2016,1,4,0,4,0,,,,,,,,
MARYLAND,2016,1,16,1,15,0,,,,,,,,
MASSACHUSETTS,2016,1,8,0,8,0,,,,,,,,
MICHIGAN,2016,1,11,0,11,0,,,,,,,,
MISSISSIPPI,2016,1,7,0,7,0,,,,,,,,
MONTANA,2016,1,3,0,3,0,,,,,,,,
NEBRASKA,2016,1,7,0,7,0,,,,,,,,
NEW MEXICO,2016,1,4,0,4,0,,,,,,,,
NEW YORK,2016,1,10,0,10,0,,,,,,,,
OHIO,2016,1,41,3,38,0,,,,,,,,
PENNSYLVANIA,2016,1,9,0,9,0,,,,,,,,
SOUTH CAROLINA,2016,1,15,0,15,0,,,,,,,,
SOUTH DAKOTA,2016,1,4,0,4,0,,,,,,,,
TENNESSEE,2016,1,25,1,24,0,,,,,,,,
TEXAS,2016,1,6,0,6,0,,,,,,,,
WISCONSIN,2016,1,15,0,15,0,,,,,,,,
ALASKA,2016,2,1,0,1,0,,,,,,,,
ARIZONA,2016,2,31,1,30,0,,,,,,,,
ARKANSAS,2016,2,3,1,2,0,,,,,,,,
FLORIDA,2016,2,23,3,20,0,,,,,,,,
GEORGIA,2016,2,6,0,6,0,,,,,,,,
IDAHO,2016,2,0,1,0,0,,,,,,,,
KENTUCKY,2016,2,3,0,3,0,,,,,,,,
MAINE,2016,2,4,0,4,0,,,,,,,,
MARYLAND,2016,2,14,0,14,0,,,,,,,,
MICHIGAN,2016,2,5,0,5,0,,,,,,,,
MISSISSIPPI,2016,2,3,0,3,0,,,,,,,,
