date,country,age_group,doses,J12_J18_prim,acm_noj_prim
2005-01-01,Ecuador,2-59m,Any,50,204
2005-02-01,Ecuador,2-59m,Any,51,171
2005-03-01,Ecuador,2-59m,Any,53,166
2005-04-01,Ecuador,2-59m,Any,46,197
2005-05-01,Ecuador,2-59m,Any,62,212
2005-06-01,Ecuador,2-59m,Any,34,180
2005-07-01,Ecuador,2-59m,Any,38,158
2005-08-01,Ecuador,2-59m,Any,38,167
2005-09-01,Ecuador,2-59m,Any,28,144
2005-10-01,Ecuador,2-59m,Any,26,149
2005-11-01,Ecuador,2-59m,Any,33,153
2005-12-01,Ecuador,2-59m,Any,31,140
2006-01-01,Ecuador,2-59m,Any,46,220
2006-02-01,Ecuador,2-59m,Any,53,143
2006-03-01,Ecuador,2-59m,Any,56,199
2006-04-01,Ecuador,2-59m,Any,26,165
2006-05-01,Ecuador,2-59m,Any,49,179
2006-06-01,Ecuador,2-59m,Any,36,142
2006-07-01,Ecuador,2-59m,Any,42,171
2006-08-01,Ecuador,2-59m,Any,37,169
2006-09-01,Ecuador,2-59m,Any,46,162
2006-10-01,Ecuador,2-59m,Any,48,152
2006-11-01,Ecuador,2-59m,Any,26,164
2006-12-01,Ecuador,2-59m,Any,42,129
2007-01-01,Ecuador,2-59m,Any,45,227
2007-02-01,Ecuador,2-59m,Any,57,141
2007-03-01,Ecuador,2-59m,Any,42,165
2007-04-01,Ecuador,2-59m,Any,28,133
2007-05-01,Ecuador,2-59m,Any,39,185
2007-06-01,Ecuador,2-59m,Any,35,177
2007-07-01,Ecuador,2-59m,Any,36,157
2007-08-01,Ecuador,2-59m,Any,28,158
2007-09-01,Ecuador,2-59m,Any,29,139
2007-10-01,Ecuador,2-59m,Any,28,139
2007-11-01,Ecuador,2-59m,Any,28,127
2007-12-01,Ecuador,2-59m,Any,23,126
2008-01-01,Ecuador,2-59m,Any,36,184
2008-02-01,Ecuador,2-59m,Any,44,159
2008-03-01,Ecuador,2-59m,Any,49,190
2008-04-01,Ecuador,2-59m,Any,41,133
2008-05-01,Ecuador,2-59m,Any,36,131
2008-06-01,Ecuador,2-59m,Any,45,151
2008-07-01,Ecuador,2-59m,Any,29,140
2008-08-01,Ecuador,2-59m,Any,34,160
2008-09-01,Ecuador,2-59m,Any,28,140
2008-10-01,Ecuador,2-59m,Any,40,157
2008-11-01,Ecuador,2-59m,Any,51,119
2008-12-01,Ecuador,2-59m,Any,38,153
2009-01-01,Ecuador,2-59m,Any,45,169
2009-02-01,Ecuador,2-59m,Any,50,150
2009-03-01,Ecuador,2-59m,Any,33,160
2009-04-01,Ecuador,2-59m,Any,38,133
2009-05-01,Ecuador,2-59m,Any,40,150
2009-06-01,Ecuador,2-59m,Any,35,152
2009-07-01,Ecuador,2-59m,Any,20,145
2009-08-01,Ecuador,2-59m,Any,33,142
2009-09-01,Ecuador,2-59m,Any,25,140
2009-10-01,Ecuador,2-59m,Any,28,140
2009-11-01,Ecuador,2-59m,Any,26,150
2009-12-01,Ecuador,2-59m,Any,34,119
2010-01-01,Ecuador,2-59m,Any,34,186
2010-02-01,Ecuador,2-59m,Any,42,155
2010-03-01,Ecuador,2-59m,Any,36,176
2010-04-01,Ecuador,2-59m,Any,32,150
2010-05-01,Ecuador,2-59m,Any,33,158
2010-06-01,Ecuador,2-59m,Any,26,145
2010-07-01,Ecuador,2-59m,Any,29,136
2010-08-01,Ecuador,2-59m,Any,16,128
2010-09-01,Ecuador,2-59m,Any,17,138
2010-10-01,Ecuador,2-59m,Any,32,131
2010-11-01,Ecuador,2-59m,Any,26,134
2010-12-01,Ecuador,2-59m,Any,30,116
2011-01-01,Ecuador,2-59m,Any,40,190
2011-02-01,Ecuador,2-59m,Any,27,147
2011-03-01,Ecuador,2-59m,Any,24,133
2011-04-01,Ecuador,2-59m,Any,24,146
2011-05-01,Ecuador,2-59m,Any,20,135
2011-06-01,Ecuador,2-59m,Any,29,141
2011-07-01,Ecuador,2-59m,Any,19,134
2011-08-01,Ecuador,2-59m,Any,24,133
2011-09-01,Ecuador,2-59m,Any,20,101
2011-10-01,Ecuador,2-59m,Any,26,130
2011-11-01,Ecuador,2-59m,Any,30,120
2011-12-01,Ecuador,2-59m,Any,14,117
2012-01-01,Ecuador,2-59m,Any,27,180
2012-02-01,Ecuador,2-59m,Any,22,165
2012-03-01,Ecuador,2-59m,Any,50,177
2012-04-01,Ecuador,2-59m,Any,29,142
2012-05-01,Ecuador,2-59m,Any,27,152
2012-06-01,Ecuador,2-59m,Any,28,122
2012-07-01,Ecuador,2-59m,Any,30,142
2012-08-01,Ecuador,2-59m,Any,34,125
2012-09-01,Ecuador,2-59m,Any,15,111
2012-10-01,Ecuador,2-59m,Any,25,136
2012-11-01,Ecuador,2-59m,Any,28,108
2012-12-01,Ecuador,2-59m,Any,18,112
2013-01-01,Ecuador,2-59m,Any,26,154
2013-02-01,Ecuador,2-59m,Any,20,124
2013-03-01,Ecuador,2-59m,Any,19,140
2013-04-01,Ecuador,2-59m,Any,27,140
2013-05-01,Ecuador,2-59m,Any,21,129
2013-06-01,Ecuador,2-59m,Any,26,144
2013-07-01,Ecuador,2-59m,Any,30,144
2013-08-01,Ecuador,2-59m,Any,31,148
2013-09-01,Ecuador,2-59m,Any,30,132
2013-10-01,Ecuador,2-59m,Any,19,166
2013-11-01,Ecuador,2-59m,Any,21,123
2013-12-01,Ecuador,2-59m,Any,15,145
2014-01-01,Ecuador,2-59m,Any,30,131
2014-02-01,Ecuador,2-59m,Any,15,126
2014-03-01,Ecuador,2-59m,Any,29,117
2014-04-01,Ecuador,2-59m,Any,17,132
2014-05-01,Ecuador,2-59m,Any,30,153
2014-06-01,Ecuador,2-59m,Any,29,114
2014-07-01,Ecuador,2-59m,Any,25,110
2014-08-01,Ecuador,2-59m,Any,29,122
2014-09-01,Ecuador,2-59m,Any,25,124
2014-10-01,Ecuador,2-59m,Any,16,102
2014-11-01,Ecuador,2-59m,Any,19,100
2014-12-01,Ecuador,2-59m,Any,14,117
