ReportingArea,MMWRYear,MMWRWeek,7dayavg_retail_rec,7dayavg_grocery,7dayavg_parks,7dayavg_transit,7dayavg_work,7dayavg_res
United States,2020,7,7,4,0,13,1,-2
United States,2020,8,8,8,4,12,6,2
United States,2020,9,9,9,8,21,6,3
United States,2020,10,10,3,15,16,-2,-2
United States,2020,11,11,-25,9,4,-24,-25
United States,2020,12,12,-42,-14,-11,-42,-40
United States,2020,13,13,-42,-14,-13,-44,-44
United States,2020,14,14,-43,-13,-15,-48,-46
United States,2020,15,15,-43,-18,-16,-45,-44
United States,2020,16,16,-39,-13,-1,-42,-42
United States,2020,17,17,-33,-9,7,-38,-40
United States,2020,18,18,-29,-1,13,-35,-37
United States,2020,19,19,-27,-4,23,-33,-35
United States,2020,20,20,-23,-2,34,-30,-33
United States,2020,21,21,-21,-1,55,-28,-33
United States,2020,22,22,-18,1,50,-26,-28
United States,2020,23,23,-14,3,72,-21,-27
United States,2020,24,24,-12,4,89,-19,-26
United States,2020,25,25,-13,3,89,-17,-27
United States,2020,26,26,-13,7,107,-19,-34
United States,2020,27,27,-13,2,87,-18,-29
United States,2020,28,28,-12,3,96,-18,-28
United States,2020,29,29,-13,1,93,-19,-28
United States,2020,30,30,-12,2,92,-18,-29
United States,2020,31,31,-11,2,94,-17,-28
United States,2020,32,32,-12,1,91,-17,-28
United States,2020,33,33,-13,-1,50,-18,-27
United States,2020,34,34,-14,-2,41,-20,-27
United States,2020,35,35,-13,-3,53,-27,-28
United States,2020,36,36,-13,-3,64,-22,-31
United States,2020,37,37,-12,-3,62,-21,-25
United States,2020,38,38,-13,-5,44,-23,-24
United States,2020,39,39,-12,-3,36,-23,-24
United States,2020,40,40,-14,-5,33,-23,-24
United States,2020,41,41,-15,-6,22,-23,-25
United States,2020,42,42,-19,-9,7,-31,-25
United States,2020,43,43,-16,-6,4,-27,-24
United States,2020,44,44,-17,-8,5,-29,-24
United States,2020,45,45,-18,-9,-8,-31,-26
United States,2020,46,46,-19,-7,-9,-30,-24
United States,2020,47,47,-24,-8,-8,-34,-38
United States,2020,48,48,-19,-8,-14,-33,-25
United States,2020,49,49,-20,-8,-16,-33,-25
United States,2020,50,50,-18,-5,-22,-32,-26
United States,2020,51,51,-24,-6,-16,-36,-40
United States,2020,52,-22,-10,-16,-37,-39,13
East North Central,2020,7,4,1,16,3,0,0
East North Central,2020,8,6,3,16,6,2,0
East North Central,2020,9,11,7,36,8,3,-1
East North Central,2020,10,4,16,37,2,0,1
East North Central,2020,11,-29,9,15,-21,-24,11
East North Central,2020,12,-48,-17,19,-39,-42,18
East North Central,2020,13,-46,-15,32,-40,-45,18
East North Central,2020,14,-44,-12,39,-41,-47,18
East North Central,2020,15,-46,-19,8,-41,-45,18
East North Central,2020,16,-39,-14,43,-37,-43,17
East North Central,2020,17,-32,-7,73,-30,-41,14
East North Central,2020,18,-28,0,65,-28,-38,14
East North Central,2020,19,-27,-4,72,-26,-35,13
East North Central,2020,20,-23,-1,84,-22,-33,12
East North Central,2020,21,-17,2,145,-17,-33,10
East North Central,2020,22,-13,4,148,-13,-26,8
East North Central,2020,23,-9,4,165,-10,-25,7
East North Central,2020,24,-6,7,194,-6,-24,6
East North Central,2020,25,-7,4,168,-6,-24,6
East North Central,2020,26,-8,9,220,-7,-33,6
East North Central,2020,27,-7,3,180,-4,-26,6
East North Central,2020,28,-7,4,195,-6,-25,6
East North Central,2020,29,-7,3,189,-6,-25,6
East North Central,2020,30,-7,3,184,-7,-25,6
East North Central,2020,31,-6,3,192,-6,-25,5
East North Central,2020,32,-7,2,182,-7,-25,5
East North Central,2020,33,-7,1,190,-7,-24,5
East North Central,2020,34,-9,0,155,-10,-23,5
East North Central,2020,35,-6,3,186,-8,-24,4
East North Central,2020,36,-10,-2,138,-13,-28,6
East North Central,2020,37,-7,-1,155,-10,-21,4
East North Central,2020,38,-8,-1,135,-13,-20,4
East North Central,2020,39,-9,0,82,-14,-21,5
East North Central,2020,40,-10,-1,124,-12,-20,4
East North Central,2020,41,-12,-3,75,-15,-22,6
East North Central,2020,42,-14,-5,52,-17,-21,7
East North Central,2020,43,-15,-3,36,-20,-21,7
East North Central,2020,44,-14,-5,76,-21,-21,7
East North Central,2020,45,-18,-6,22,-25,-23,9
East North Central,2020,46,-20,-5,19,-25,-23,9
East North Central,2020,47,-25,-6,17,-30,-37,12
East North Central,2020,48,-19,-6,8,-28,-23,10
East North Central,2020,49,-19,-5,11,-29,-22,9
East North Central,2020,50,-16,-1,2,-25,-22,9
East North Central,2020,51,-24,-4,2,-32,-39,12
East North Central,2020,52,-22,-9,-4,-33,-39,14
East South Central,2020,7,2,1,13,4,-1,1
East South Central,2020,8,9,5,18,8,2,-1
East South Central,2020,9,13,9,35,9,2,-1
East South Central,2020,10,6,15,33,5,-2,1
East South Central,2020,11,-18,13,16,-9,-18,8
East South Central,2020,12,-35,-7,22,-26,-33,13
East South Central,2020,13,-35,-4,13,-30,-37,14
East South Central,2020,14,-37,-5,12,-35,-41,15
East South Central,2020,15,-34,-11,4,-32,-39,14
East South Central,2020,16,-30,-7,14,-30,-37,14
East South Central,2020,17,-22,1,36,-22,-34,11
East South Central,2020,18,-17,7,31,-18,-31,11
East South Central,2020,19,-15,5,46,-15,-29,9
East South Central,2020,20,-12,5,59,-11,-27,8
East South Central,2020,21,-11,5,77,-10,-28,8
East South Central,2020,22,-6,8,81,-6,-22,6
East South Central,2020,23,-6,6,89,-5,-22,6
East South Central,2020,24,-4,9,102,0,-21,5
East South Central,2020,25,-6,5,86,0,-23,6
East South Central,2020,26,-7,8,100,-3,-30,6
East South Central,2020,27,-8,4,87,0,-25,6
East South Central,2020,28,-8,4,86,-1,-24,6
East South Central,2020,29,-9,2,81,-2,-24,6
East South Central,2020,30,-8,2,77,-2,-24,6
East South Central,2020,31,-5,5,98,0,-24,5
East South Central,2020,32,-8,1,77,-2,-24,5
East South Central,2020,33,-10,0,65,-5,-22,5
East South Central,2020,34,-12,-2,53,-8,-22,5
East South Central,2020,35,-7,1,64,-2,-24,4
East South Central,2020,36,-10,-1,83,-4,-27,4
East South Central,2020,37,-9,-1,75,-5,-21,3
East South Central,2020,38,-10,-3,53,-6,-19,4
East South Central,2020,39,-7,0,52,-3,-19,3
East South Central,2020,40,-10,-3,46,-4,-20,4
East South Central,2020,41,-10,-2,47,-2,-20,4
East South Central,2020,42,-12,-4,34,-6,-19,4
East South Central,2020,43,-11,-2,26,-7,-19,4
East South Central,2020,44,-10,-3,33,-8,-18,4
East South Central,2020,45,-12,-4,17,-9,-19,6
East South Central,2020,46,-14,-2,12,-7,-18,5
East South Central,2020,47,-21,-5,9,-12,-35,9
East South Central,2020,48,-14,-3,-1,-11,-19,7
East South Central,2020,49,-14,-3,3,-12,-19,6
East South Central,2020,50,-11,0,-5,-7,-19,7
East South Central,2020,51,-19,-3,-1,-15,-38,10
East South Central,2020,52,-14,-4,3,-15,-36,11
Middle Atlantic,2020,7,4,-2,17,-2,-4,1
Middle Atlantic,2020,8,4,1,17,3,3,0
Middle Atlantic,2020,9,7,6,21,2,3,-1
Middle Atlantic,2020,10,2,15,45,-7,-2,2
Middle Atlantic,2020,11,-30,5,20,-37,-30,13
Middle Atlantic,2020,12,-52,-24,-10,-58,-48,21
Middle Atlantic,2020,13,-52,-20,-14,-60,-51,22
Middle Atlantic,2020,14,-54,-13,-3,-61,-54,22
Middle Atlantic,2020,15,-57,-25,-23,-62,-52,22
Middle Atlantic,2020,16,-52,-21,0,-58,-49,21
Middle Atlantic,2020,17,-49,-17,2,-56,-48,19
Middle Atlantic,2020,18,-44,-9,16,-53,-45,18
Middle Atlantic,2020,19,-41,-11,45,-50,-42,16
Middle Atlantic,2020,20,-37,-8,50,-48,-40,16
Middle Atlantic,2020,21,-36,-8,77,-47,-40,15
Middle Atlantic,2020,22,-33,-5,69,-44,-34,13
Middle Atlantic,2020,23,-28,-2,102,-38,-32,11
Middle Atlantic,2020,24,-24,0,107,-36,-31,10
Middle Atlantic,2020,25,-22,-1,104,-33,-31,9
Middle Atlantic,2020,26,-21,2,126,-35,-36,9
Middle Atlantic,2020,27,-21,-2,88,-34,-32,10
Middle Atlantic,2020,28,-17,0,128,-32,-30,8
Middle Atlantic,2020,29,-18,-2,108,-33,-30,9
Middle Atlantic,2020,30,-16,-1,119,-31,-31,8
Middle Atlantic,2020,31,-16,-2,101,-32,-32,8
Middle Atlantic,2020,32,-16,-2,117,-31,-31,8
Middle Atlantic,2020,33,-16,-4,105,-33,-31,8
Middle Atlantic,2020,34,4,-2,17,-2,-4,1
Middle Atlantic,2020,35,-14,-2,118,-32,-30,6
Middle Atlantic,2020,36,-16,-5,94,-33,-33,8
Middle Atlantic,2020,37,-14,-4,87,-31,-27,7
Middle Atlantic,2020,38,-15,-5,77,-32,-26,7
Middle Atlantic,2020,39,-15,-3,63,-30,-26,7
Middle Atlantic,2020,40,-16,-4,69,-30,-26,7
Middle Atlantic,2020,41,-18,-6,46,-32,-27,8
Middle Atlantic,2020,42,-18,-5,47,-30,-25,8
Middle Atlantic,2020,43,-21,-7,8,-36,-26,9
Middle Atlantic,2020,44,-18,-6,45,-34,-26,9
Middle Atlantic,2020,45,-21,-8,11,-38,-27,10
Middle Atlantic,2020,46,-23,-7,3,-38,-27,10
Middle Atlantic,2020,47,-27,-9,9,-41,-38,13
Middle Atlantic,2020,48,-25,-10,-14,-42,-29,12
Middle Atlantic,2020,49,-24,-7,-2,-41,-28,11
Middle Atlantic,2020,50,-28,-9,-25,-42,-32,14
Middle Atlantic,2020,51,-28,-7,-16,-44,-40,13
Middle Atlantic,2020,52,-28,-11,-14,-45,-41,15
Mountain,2020,7,4,3,10,3,-2,1
Mountain,2020,8,7,6,15,6,3,-1
Mountain,2020,9,9,10,23,5,3,-1
Mountain,2020,10,3,17,15,0,-1,1
