"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPS_US_PATH2198_R1","GPS_US_PATH2202_R1","GPS_US_PATH2210_R1","GPS_US_PATH2228_R1","GPS_US_PATH2234_R1","GPS_US_PATH2242_R1","GPS_US_PATH2248_R1","GPS_US_PATH2249_R1","GPS_US_PATH2250_R1","GPS_US_PATH2255_R1","GPS_US_PATH2268_R1","GPS_US_PATH2274_R1","GPS_US_PATH2296_R1","GPS_US_PATH2298_R1","GPS_US_PATH2307_R1","GPS_US_PATH3382_R1","GPS_US_PATH5902_R1","GPS_US_PATH5908_R1","GPS_US_PATH5912_R1","GPS_US_PATH5916_R1","GPS_US_PATH5924_R1","GPS_US_PATH5938_R1","PATH2203","PATH2207","PATH2211","PATH2215","PATH2218","PATH2220","PATH2225","PATH2226","PATH2229","PATH2230","PATH2231","PATH2233","PATH2239","PATH2240","PATH2251","PATH2253","PATH2256","PATH2261","PATH2262","PATH2263","PATH2264","PATH2265","PATH2267","PATH2272","PATH2279","PATH2280","PATH2281","PATH2285","PATH2290","PATH2294","PATH2295","PATH2297","PATH2300","PATH2311","PATH2313","PATH3356","PATH3359","PATH3360","PATH3366","PATH3370","PATH3375","PATH3379","PATH3383","PATH5904","PATH5906","PATH5907","PATH5909","PATH5915","PATH5922","PATH5923","PATH5926","PATH5930","PATH5931","PATH5934","PATH5935","PATH5941","PATH5942","PATH5944","PATH5946","PATH5947","PATH5950","PATH5952","PATH5953","PATH5960"
"group_1027","","membrane protein (pseudogene)","86","86","1","1","3940","","","","224","404","316","19084_7#73_00317","19084_7#74_00656","19084_7#75_02092","19084_7#77_02084","19084_7#78_00303","19084_7#80_00025","19084_7#85_01776","19084_7#86_00167","19084_7#87_00161","19084_7#88_00160","19084_7#89_02155","19084_7#93_02155","19084_7#95_00857","19084_7#96_01866","19084_7#98_00830","19084_8#46_00533","19084_8#106_00695","19084_8#107_00692","19084_8#109_02012","19084_8#110_02058","19084_8#111_00659","19084_8#113_00655","11657_8#36_02018","11657_8#39_02023","11679_1#60_00527","11658_2#46_02120","11679_1#63_01988","11658_2#44_00918","11658_2#39_01941","11511_8#64_02113","11511_8#66_00621","11658_2#38_02172","11658_2#37_02012","11511_8#67_01974","11657_8#42_00166","11658_2#33_02008","11511_8#69_00689","11679_1#70_00780","11658_2#28_02035","11657_4#76_01624","11658_2#27_01904","11511_8#71_01847","11657_4#77_01796","11511_8#72_01302","11657_4#78_01746","11658_2#24_01885","11822_8#80_02059","11679_1#73_02057","11658_2#23_02086","11679_1#75_01782","11657_4#83_02157","11658_2#19_02005","11657_4#85_01473","11679_1#79_02060","11657_4#86_01835","11658_2#12_01883","11658_2#11_01287","11679_1#82_02007","11657_8#46_01893","11511_8#81_01638","11893_8#29_00937","11679_1#89_02059","11658_8#9_00562","11657_4#90_00434","11658_2#5_00423","11679_1#93_02091","11657_8#52_01341","11658_8#11_01364","11658_2#4_01946","11511_8#89_00559","11679_1#94_01889","11679_1#95_01776","11657_8#56_00554","11511_8#92_02018","11511_8#93_02065","11657_4#95_01956","13154_2#34_00678","12291_1#1_01520","12291_1#2_02000","12291_1#4_02008","12291_1#6_01907","12291_1#7_01963","12838_1#61_01791","12291_1#12_01856","12291_1#13_02116","12291_1#20_01091"
"rlmN","","ribosomal RNA large subunit methyltransferase N","86","86","1","1","4020","","","","746","1085","1029","19084_7#73_00377","19084_7#74_00716","19084_7#75_01784","19084_7#77_01857","19084_7#78_00363","19084_7#80_00091","19084_7#85_00042","19084_7#86_00228","19084_7#87_00221","19084_7#88_00220","19084_7#89_01958","19084_7#93_01920","19084_7#95_00917","19084_7#96_00695","19084_7#98_00890","19084_8#46_00473","19084_8#106_00629","19084_8#107_00751","19084_8#109_01819","19084_8#110_01944","19084_8#111_00722","19084_8#113_00715","11657_8#36_01689","11657_8#39_01013","11679_1#60_00466","11658_2#46_01065","11679_1#63_00958","11658_2#44_00040","11658_2#39_01915","11511_8#64_00603","11511_8#66_01963","11658_2#38_01561","11658_2#37_01510","11511_8#67_00952","11657_8#42_00224","11658_2#33_01498","11511_8#69_00628","11679_1#70_00840","11658_2#28_00850","11657_4#76_00605","11658_2#27_01692","11511_8#71_01795","11657_4#77_00344","11511_8#72_00704","11657_4#78_01657","11658_2#24_01413","11822_8#80_01651","11679_1#73_01303","11658_2#23_01711","11679_1#75_00031","11657_4#83_01489","11658_2#19_01755","11657_4#85_00679","11679_1#79_01783","11657_4#86_00731","11658_2#12_00948","11658_2#11_01347","11679_1#82_01580","11657_8#46_01349","11511_8#81_00895","11893_8#29_01756","11679_1#89_01112","11658_8#9_00621","11657_4#90_01502","11658_2#5_00486","11679_1#93_01310","11657_8#52_01395","11658_8#11_01785","11658_2#4_00169","11511_8#89_00619","11679_1#94_00648","11679_1#95_00709","11657_8#56_01395","11511_8#92_01353","11511_8#93_00361","11657_4#95_01701","13154_2#34_01171","12291_1#1_00986","12291_1#2_01729","12291_1#4_01595","12291_1#6_01689","12291_1#7_01515","12838_1#61_00618","12291_1#12_01613","12291_1#13_00892","12291_1#20_00173"
"thiM_1","","hydroxyethylthiazole kinase","86","86","1","1","4076","","","","803","803","803","19084_7#73_00417","19084_7#74_00757","19084_7#75_01912","19084_7#77_01900","19084_7#78_00403","19084_7#80_00132","19084_7#85_00080","19084_7#86_00268","19084_7#87_00261","19084_7#88_00260","19084_7#89_02093","19084_7#93_02050","19084_7#95_00956","19084_7#96_00734","19084_7#98_00931","19084_8#46_00433","19084_8#106_00575","19084_8#107_00791","19084_8#109_01860","19084_8#110_01985","19084_8#111_00764","19084_8#113_00753","11657_8#36_01784","11657_8#39_01789","11679_1#60_00427","11658_2#46_01023","11679_1#63_00848","11658_2#44_00080","11658_2#39_00230","11511_8#64_02043","11511_8#66_00188","11658_2#38_01296","11658_2#37_01399","11511_8#67_00912","11657_8#42_00262","11658_2#33_01944","11511_8#69_01694","11679_1#70_00879","11658_2#28_00889","11657_4#76_01726","11658_2#27_01839","11511_8#71_00916","11657_4#77_01916","11511_8#72_00744","11657_4#78_01796","11658_2#24_01454","11822_8#80_01876","11679_1#73_01869","11658_2#23_00189","11679_1#75_01889","11657_4#83_00327","11658_2#19_01714","11657_4#85_00639","11679_1#79_01732","11657_4#86_01786","11658_2#12_00535","11658_2#11_00881","11679_1#82_01539","11657_8#46_00417","11511_8#81_00934","11893_8#29_01106","11679_1#89_01152","11658_8#9_00659","11657_4#90_00572","11658_2#5_00536","11679_1#93_00286","11657_8#52_01949","11658_8#11_00180","11658_2#4_00129","11511_8#89_00768","11679_1#94_00608","11679_1#95_01631","11657_8#56_01149","11511_8#92_01394","11511_8#93_00321","11657_4#95_01660","13154_2#34_02161","12291_1#1_00943","12291_1#2_01909","12291_1#4_01555","12291_1#6_02008","12291_1#7_01474","12838_1#61_00668","12291_1#12_00079","12291_1#13_00842","12291_1#20_00132"
"rsuA","","ribosomal small subunit pseudouridine synthase A","86","86","1","1","4116","","","","725","725","725","19084_7#73_00453","19084_7#74_00792","19084_7#75_01948","19084_7#77_00998","19084_7#78_00439","19084_7#80_00169","19084_7#85_00116","19084_7#86_00767","19084_7#87_00297","19084_7#88_00296","19084_7#89_02129","19084_7#93_02086","19084_7#95_00990","19084_7#96_00769","19084_7#98_01333","19084_8#46_00397","19084_8#106_00538","19084_8#107_00856","19084_8#109_00849","19084_8#110_00997","19084_8#111_00798","19084_8#113_00788","11657_8#36_01748","11657_8#39_01825","11679_1#60_00392","11658_2#46_00793","11679_1#63_00883","11658_2#44_00125","11658_2#39_00194","11511_8#64_02007","11511_8#66_00146","11658_2#38_01261","11658_2#37_01434","11511_8#67_00856","11657_8#42_00297","11658_2#33_01229","11511_8#69_01659","11679_1#70_00914","11658_2#28_00925","11657_4#76_01763","11658_2#27_00521","11511_8#71_00880","11657_4#77_01880","11511_8#72_00779","11657_4#78_01760","11658_2#24_01262","11822_8#80_01840","11679_1#73_01833","11658_2#23_00156","11679_1#75_01853","11657_4#83_00292","11658_2#19_00914","11657_4#85_00604","11679_1#79_01696","11657_4#86_01822","11658_2#12_00500","11658_2#11_00846","11679_1#82_01503","11657_8#46_00382","11511_8#81_00969","11893_8#29_01142","11679_1#89_00699","11658_8#9_00694","11657_4#90_00528","11658_2#5_00571","11679_1#93_00321","11657_8#52_01914","11658_8#11_00224","11658_2#4_00093","11511_8#89_00726","11679_1#94_00553","11679_1#95_01179","11657_8#56_01114","11511_8#92_01430","11511_8#93_00285","11657_4#95_01578","13154_2#34_01397","12291_1#1_00907","12291_1#2_01873","12291_1#4_00914","12291_1#6_00667","12291_1#7_01330","12838_1#61_00703","12291_1#12_00035","12291_1#13_00807","12291_1#20_00098"
"yheS_1","","ABC transporter ATP-binding protein","86","86","1","1","2749","","","","1526","1559","1555","19084_7#73_00663","19084_7#74_00268","19084_7#75_00600","19084_7#77_00891","19084_7#78_00825","19084_7#80_00605","19084_7#85_00865","19084_7#86_01365","19084_7#87_00651","19084_7#88_00802","19084_7#89_00240","19084_7#93_00597","19084_7#95_02032","19084_7#96_00621","19084_7#98_01897","19084_8#46_00991","19084_8#106_01673","19084_8#107_00355","19084_8#109_00742","19084_8#110_00918","19084_8#111_00277","19084_8#113_01714","11657_8#36_00333","11657_8#39_00238","11679_1#60_01379","11658_2#46_00451","11679_1#63_01453","11658_2#44_01766","11658_2#39_00790","11511_8#64_00056","11511_8#66_01205","11658_2#38_00491","11658_2#37_00129","11511_8#67_01375","11657_8#42_01315","11658_2#33_00600","11511_8#69_01389","11679_1#70_01517","11658_2#28_00411","11657_4#76_00056","11658_2#27_01267","11511_8#71_00500","11657_4#77_00706","11511_8#72_00616","11657_4#78_00402","11658_2#24_00728","11822_8#80_00456","11679_1#73_00056","11658_2#23_00808","11679_1#75_00546","11657_4#83_00504","11658_2#19_01339","11657_4#85_01279","11679_1#79_00057","11657_4#86_01403","11658_2#12_01059","11658_2#11_00203","11679_1#82_00621","11657_8#46_01601","11511_8#81_01484","11893_8#29_00626","11679_1#89_01835","11658_8#9_01110","11657_4#90_00336","11658_2#5_01211","11679_1#93_00084","11657_8#52_00320","11658_8#11_01988","11658_2#4_01357","11511_8#89_01622","11679_1#94_00788","11679_1#95_01527","11657_8#56_01906","11511_8#92_00259","11511_8#93_00637","11657_4#95_01115","13154_2#34_01105","12291_1#1_02095","12291_1#2_00392","12291_1#4_00688","12291_1#6_01056","12291_1#7_00985","12838_1#61_00819","12291_1#12_01339","12291_1#13_00098","12291_1#20_00607"
"ybjI","","Cof family protein","86","86","1","1","2786","","","","794","794","794","19084_7#73_00698","19084_7#74_00233","19084_7#75_00635","19084_7#77_00856","19084_7#78_00790","19084_7#80_01382","19084_7#85_00829","19084_7#86_01541","19084_7#87_00686","19084_7#88_00837","19084_7#89_00275","19084_7#93_00632","19084_7#95_01999","19084_7#96_00586","19084_7#98_01764","19084_8#46_01026","19084_8#106_01639","19084_8#107_00320","19084_8#109_00707","19084_8#110_00953","19084_8#111_00242","19084_8#113_01678","11657_8#36_00298","11657_8#39_00273","11679_1#60_01412","11658_2#46_00486","11679_1#63_00769","11658_2#44_01330","11658_2#39_00754","11511_8#64_00021","11511_8#66_02055","11658_2#38_00527","11658_2#37_00162","11511_8#67_01411","11657_8#42_01348","11658_2#33_00635","11511_8#69_01356","11679_1#70_01550","11658_2#28_00376","11657_4#76_00021","11658_2#27_01304","11511_8#71_00464","11657_4#77_00671","11511_8#72_00652","11657_4#78_00437","11658_2#24_00693","11822_8#80_00491","11679_1#73_00021","11658_2#23_00842","11679_1#75_00581","11657_4#83_00467","11658_2#19_01374","11657_4#85_01315","11679_1#79_00022","11657_4#86_01368","11658_2#12_01095","11658_2#11_00238","11679_1#82_00656","11657_8#46_00305","11511_8#81_01519","11893_8#29_00593","11679_1#89_01369","11658_8#9_01143","11657_4#90_00372","11658_2#5_01246","11679_1#93_00048","11657_8#52_00355","11658_8#11_01841","11658_2#4_01392","11511_8#89_00645","11679_1#94_00752","11679_1#95_00790","11657_8#56_01454","11511_8#92_00294","11511_8#93_01459","11657_4#95_01150","13154_2#34_01140","12291_1#1_01334","12291_1#2_00357","12291_1#4_00653","12291_1#6_01021","12291_1#7_01020","12838_1#61_00783","12291_1#12_01303","12291_1#13_00064","12291_1#20_00573"
"vraR_2","","response regulator","86","86","1","1","698","","","","599","599","599","19084_7#73_01752","19084_7#74_01721","19084_7#75_01337","19084_7#77_01329","19084_7#78_01758","19084_7#80_02148","19084_7#85_01800","19084_7#86_01397","19084_7#87_01654","19084_7#88_01651","19084_7#89_01350","19084_7#93_01673","19084_7#95_01425","19084_7#96_01979","19084_7#98_01522","19084_8#46_01771","19084_8#106_01137","19084_8#107_01977","19084_8#109_01162","19084_8#110_01095","19084_8#111_01525","19084_8#113_01773","11657_8#36_01480","11657_8#39_01622","11679_1#60_01560","11658_2#46_01350","11679_1#63_01140","11658_2#44_01166","11658_2#39_01062","11511_8#64_01530","11511_8#66_02042","11658_2#38_01133","11658_2#37_00551","11511_8#67_01949","11657_8#42_01047","11658_2#33_01070","11511_8#69_00834","11679_1#70_00561","11658_2#28_01837","11657_4#76_01334","11658_2#27_01433","11511_8#71_00758","11657_4#77_01496","11511_8#72_01849","11657_4#78_01620","11658_2#24_01356","11822_8#80_01506","11679_1#73_01688","11658_2#23_01368","11679_1#75_01594","11657_4#83_00709","11658_2#19_01011","11657_4#85_00979","11679_1#79_01363","11657_4#86_01544","11658_2#12_00685","11658_2#11_01523","11679_1#82_01624","11657_8#46_01257","11511_8#81_01760","11893_8#29_00748","11679_1#89_00213","11658_8#9_01754","11657_4#90_01970","11658_2#5_01654","11679_1#93_01637","11657_8#52_01083","11658_8#11_01176","11658_2#4_01241","11511_8#89_01814","11679_1#94_01412","11679_1#95_00584","11657_8#56_01872","11511_8#92_01686","11511_8#93_01527","11657_4#95_00578","13154_2#34_02215","12291_1#1_01777","12291_1#2_01642","12291_1#4_01010","12291_1#6_01264","12291_1#7_00206","12838_1#61_01308","12291_1#12_01138","12291_1#13_01289","12291_1#20_01608"
"sapR","","sakacin A production response regulator","86","86","1","1","1341","","","","623","623","623","19084_7#73_01797","19084_7#74_01814","19084_7#75_01724","19084_7#77_01763","19084_7#78_01886","19084_7#80_00558","19084_7#85_02023","19084_7#86_01916","19084_7#87_01774","19084_7#88_01771","19084_7#89_01836","19084_7#93_01849","19084_7#95_02107","19084_7#96_02105","19084_7#98_01824","19084_8#46_01307","19084_8#106_02093","19084_8#107_02106","19084_8#109_01733","19084_8#110_01858","19084_8#111_01989","19084_8#113_02069","11657_8#36_01630","11657_8#39_00323","11679_1#60_01742","11658_2#46_01642","11679_1#63_01252","11658_2#44_01487","11658_2#39_01302","11511_8#64_01631","11511_8#66_01739","11658_2#38_01829","11658_2#37_01720","11511_8#67_01757","11657_8#42_01641","11658_2#33_01437","11511_8#69_01999","11679_1#70_01969","11658_2#28_01946","11657_4#76_01988","11658_2#27_01596","11511_8#71_01406","11657_4#77_01619","11511_8#72_01434","11657_4#78_01862","11658_2#24_00478","11822_8#80_01182","11679_1#73_00325","11658_2#23_01773","11679_1#75_00910","11657_4#83_01734","11658_2#19_00751","11657_4#85_01015","11679_1#79_01252","11657_4#86_01647","11658_2#12_01730","11658_2#11_01733","11679_1#82_01712","11657_8#46_00785","11511_8#81_02030","11893_8#29_00897","11679_1#89_01596","11658_8#9_01672","11657_4#90_00741","11658_2#5_01795","11679_1#93_01551","11657_8#52_01613","11658_8#11_00423","11658_2#4_01433","11511_8#89_01996","11679_1#94_01792","11679_1#95_01231","11657_8#56_01655","11511_8#92_01465","11511_8#93_01863","11657_4#95_00742","13154_2#34_01668","12291_1#1_00522","12291_1#2_00897","12291_1#4_01522","12291_1#6_01102","12291_1#7_01441","12838_1#61_01516","12291_1#12_01685","12291_1#13_01930","12291_1#20_00395"
"group_1087","","FIG01115288: hypothetical protein","86","86","1","1","617","","","","194","314","309","19084_7#73_01841","19084_7#74_01429","19084_7#75_01031","19084_7#77_01152","19084_7#78_00694","19084_7#80_01519","19084_7#85_01486","19084_7#86_01140","19084_7#87_01869","19084_7#88_01815","19084_7#89_00823","19084_7#93_01152","19084_7#95_01822","19084_7#96_01275","19084_7#98_00753","19084_8#46_01099","19084_8#106_01762","19084_8#107_01903","19084_8#109_01575","19084_8#110_01512","19084_8#111_00935","19084_8#113_01407","11657_8#36_00852","11657_8#39_00522","11679_1#60_01131","11658_2#46_01258","11679_1#63_01595","11658_2#44_01261","11658_2#39_00449","11511_8#64_00964","11511_8#66_00778","11658_2#38_01520","11658_2#37_00634","11511_8#67_01321","11657_8#42_01113","11658_2#33_00455","11511_8#69_00453","11679_1#70_00638","11658_2#28_01447","11657_4#76_01232","11658_2#27_01203","11511_8#71_01874","11657_4#77_01080","11511_8#72_01585","11657_4#78_01124","11658_2#24_01334","11822_8#80_01064","11679_1#73_00524","11658_2#23_00441","11679_1#75_01109","11657_4#83_00412","11658_2#19_00838","11657_4#85_01201","11679_1#79_01586","11657_4#86_00648","11658_2#12_01138","11658_2#11_00613","11679_1#82_01107","11657_8#46_01468","11511_8#81_01940","11893_8#29_01198","11679_1#89_01275","11658_8#9_01523","11657_4#90_00642","11658_2#5_01366","11679_1#93_01411","11657_8#52_01005","11658_8#11_01479","11658_2#4_00361","11511_8#89_00961","11679_1#94_01942","11679_1#95_01012","11657_8#56_00399","11511_8#92_00987","11511_8#93_02146","11657_4#95_01192","13154_2#34_00892","12291_1#1_01376","12291_1#2_01035","12291_1#4_00843","12291_1#6_01712","12291_1#7_00823","12838_1#61_01578","12291_1#12_00694","12291_1#13_00249","12291_1#20_01659"
"yvgN","","2,5-diketo-D-gluconic acid reductase A","86","86","1","1","1814","","","","638","842","838","19084_7#73_01902","19084_7#74_00404","19084_7#75_00445","19084_7#77_01952","19084_7#78_01938","19084_7#80_00688","19084_7#85_01023","19084_7#86_01768","19084_7#87_00717","19084_7#88_00637","19084_7#89_00083","19084_7#93_00441","19084_7#95_01054","19084_7#96_01357","19084_7#98_00383","19084_8#46_00826","19084_8#106_00894","19084_8#107_00499","19084_8#109_00007","19084_8#110_01763","19084_8#111_01498","19084_8#113_01043","11657_8#36_00489","11657_8#39_00083","11679_1#60_00736","11658_2#46_01877","11679_1#63_01382","11658_2#44_00599","11658_2#39_00030","11511_8#64_00212","11511_8#66_00946","11658_2#38_00327","11658_2#37_01941","11511_8#67_00382","11657_8#42_00899","11658_2#33_01782","11511_8#69_01306","11679_1#70_01457","11658_2#28_00067","11657_4#76_00214","11658_2#27_00587","11511_8#71_00028","11657_4#77_00861","11511_8#72_00441","11657_4#78_00245","11658_2#24_01683","11822_8#80_00302","11679_1#73_00212","11658_2#23_00775","11679_1#75_00391","11657_4#83_00999","11658_2#19_01697","11657_4#85_00826","11679_1#79_00212","11657_4#86_00390","11658_2#12_01783","11658_2#11_00028","11679_1#82_00465","11657_8#46_01812","11511_8#81_00671","11893_8#29_01668","11679_1#89_01687","11658_8#9_00004","11657_4#90_01705","11658_2#5_01036","11679_1#93_00250","11657_8#52_00164","11658_8#11_01598","11658_2#4_01707","11511_8#89_01851","11679_1#94_00056","11679_1#95_01587","11657_8#56_01583","11511_8#92_00105","11511_8#93_00371","11657_4#95_01810","13154_2#34_01207","12291_1#1_00844","12291_1#2_00549","12291_1#4_01878","12291_1#6_00954","12291_1#7_01845","12838_1#61_00894","12291_1#12_01796","12291_1#13_01676","12291_1#20_00776"
"group_1132","","transcriptional regulator","86","86","1","1","5232","","","","233","233","233","19084_7#73_00119","19084_7#74_01966","19084_7#75_01198","19084_7#77_00375","19084_7#78_00161","19084_7#80_00792","19084_7#85_00588","19084_7#86_00440","19084_7#87_00512","19084_7#88_00455","19084_7#89_00421","19084_7#93_00832","19084_7#95_00103","19084_7#96_00154","19084_7#98_00615","19084_8#46_00702","19084_8#106_00046","19084_8#107_01371","19084_8#109_00301","19084_8#110_00208","19084_8#111_01276","19084_8#113_00383","11657_8#36_00675","11657_8#39_00858","11679_1#60_00312","11658_2#46_00056","11679_1#63_00188","11658_2#44_00383","11658_2#39_01343","11511_8#64_00758","11511_8#66_00436","11658_2#38_01410","11658_2#37_00346","11511_8#67_00778","11657_8#42_01819","11658_2#33_00034","11511_8#69_00278","11679_1#70_00245","11658_2#28_01150","11657_4#76_00760","11658_2#27_00116","11511_8#71_01387","11657_4#77_00189","11511_8#72_00041","11657_4#78_00686","11658_2#24_00298","11822_8#80_00894","11679_1#73_01577","11658_2#23_01139","11679_1#75_00187","11657_4#83_01280","11658_2#19_00355","11657_4#85_00324","11679_1#79_00846","11657_4#86_00886","11658_2#12_00816","11658_2#11_00356","11679_1#82_00217","11657_8#46_00047","11511_8#81_00205","11893_8#29_00424","11679_1#89_00520","11658_8#9_00437","11657_4#90_01727","11658_2#5_01909","11679_1#93_00468","11657_8#52_00695","11658_8#11_00642","11658_2#4_00596","11511_8#89_00097","11679_1#94_00498","11679_1#95_00132","11657_8#56_00047","11511_8#92_00440","11511_8#93_01294","11657_4#95_00254","13154_2#34_00092","12291_1#1_01263","12291_1#2_00742","12291_1#4_00042","12291_1#6_00457","12291_1#7_01635","12838_1#61_00275","12291_1#12_00541","12291_1#13_00535","12291_1#20_01927"
"ygaZ","","branched-chain amino acid permease","86","86","1","1","5283","","","","575","656","643","19084_7#73_00140","19084_7#74_01104","19084_7#75_01218","19084_7#77_00351","19084_7#78_00141","19084_7#80_00817","19084_7#85_00565","19084_7#86_00415","19084_7#87_00491","19084_7#88_00476","19084_7#89_00401","19084_7#93_00812","19084_7#95_00125","19084_7#96_00179","19084_7#98_00587","19084_8#46_00681","19084_8#106_00069","19084_8#107_01346","19084_8#109_00324","19084_8#110_00184","19084_8#111_01298","19084_8#113_00361","11657_8#36_00695","11657_8#39_00878","11679_1#60_00290","11658_2#46_00080","11679_1#63_00164","11658_2#44_00359","11658_2#39_01365","11511_8#64_00738","11511_8#66_00457","11658_2#38_01432","11658_2#37_00312","11511_8#67_00756","11657_8#42_00560","11658_2#33_00340","11511_8#69_00255","11679_1#70_00224","11658_2#28_01172","11657_4#76_00740","11658_2#27_00137","11511_8#71_01365","11657_4#77_00209","11511_8#72_00067","11657_4#78_00666","11658_2#24_00274","11822_8#80_00874","11679_1#73_01385","11658_2#23_01041","11679_1#75_00167","11657_4#83_01258","11658_2#19_00331","11657_4#85_00350","11679_1#79_00826","11657_4#86_00866","11658_2#12_00794","11658_2#11_00378","11679_1#82_00197","11657_8#46_00071","11511_8#81_00230","11893_8#29_00398","11679_1#89_00495","11658_8#9_00415","11657_4#90_00895","11658_2#5_01015","11679_1#93_00490","11657_8#52_00715","11658_8#11_00165","11658_2#4_00617","11511_8#89_00121","11679_1#94_00477","11679_1#95_00106","11657_8#56_00072","11511_8#92_00420","11511_8#93_01315","11657_4#95_00278","13154_2#34_00118","12291_1#1_01242","12291_1#2_00762","12291_1#4_00066","12291_1#6_00432","12291_1#7_00015","12838_1#61_00252","12291_1#12_00569","12291_1#13_00515","12291_1#20_00540"
"group_1138","","response regulator","86","86","1","1","5301","","","","440","440","440","19084_7#73_00155","19084_7#74_01089","19084_7#75_01233","19084_7#77_00336","19084_7#78_00126","19084_7#80_00832","19084_7#85_00550","19084_7#86_00400","19084_7#87_00476","19084_7#88_00491","19084_7#89_00386","19084_7#93_00797","19084_7#95_00140","19084_7#96_00196","19084_7#98_00572","19084_8#46_00666","19084_8#106_00085","19084_8#107_01331","19084_8#109_00339","19084_8#110_00169","19084_8#111_01313","19084_8#113_00346","11657_8#36_00710","11657_8#39_00893","11679_1#60_00274","11658_2#46_00095","11679_1#63_00150","11658_2#44_00344","11658_2#39_01380","11511_8#64_00723","11511_8#66_00472","11658_2#38_01447","11658_2#37_00297","11511_8#67_00741","11657_8#42_00544","11658_2#33_00326","11511_8#69_00240","11679_1#70_00208","11658_2#28_01188","11657_4#76_00725","11658_2#27_00152","11511_8#71_01350","11657_4#77_00224","11511_8#72_00082","11657_4#78_00651","11658_2#24_00259","11822_8#80_00859","11679_1#73_01400","11658_2#23_01026","11679_1#75_00152","11657_4#83_01243","11658_2#19_00316","11657_4#85_00365","11679_1#79_00811","11657_4#86_00851","11658_2#12_00779","11658_2#11_00393","11679_1#82_00182","11657_8#46_00086","11511_8#81_00247","11893_8#29_00383","11679_1#89_00480","11658_8#9_00400","11657_4#90_00880","11658_2#5_00999","11679_1#93_00505","11657_8#52_00730","11658_8#11_00150","11658_2#4_00632","11511_8#89_00136","11679_1#94_00462","11679_1#95_00091","11657_8#56_00087","11511_8#92_00405","11511_8#93_01330","11657_4#95_00293","13154_2#34_00134","12291_1#1_01227","12291_1#2_00777","12291_1#4_00081","12291_1#6_00417","12291_1#7_00030","12838_1#61_00237","12291_1#12_00584","12291_1#13_00500","12291_1#20_00525"
