"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPS_NP_0007","GPS_NP_0011","GPS_NP_0012","GPS_NP_0014","GPS_NP_0022","GPS_NP_0032","GPS_NP_0034","GPS_NP_0045","GPS_NP_0055","GPS_NP_0064","GPS_NP_1068","GPS_NP_1179","GPS_NP_1229","GPS_NP_1248","GPS_NP_1253","GPS_NP_1362","GPS_NP_1367","GPS_NP_1378","GPS_NP_1381","GPS_NP_2025","GPS_NP_2111","GPS_NP_2394","GPS_NP_2454","GPS_NP_2513","GPS_NP_2560","GPS_NP_4001","GPS_NP_4027","GPS_NP_4038","GPS_NP_4057","GPS_NP_4071","GPS_NP_4073","GPS_NP_4109","GPS_NP_4122","GPS_NP_4137","GPS_NP_4141","GPS_NP_4161","GPS_NP_4176","GPS_NP_4179","GPS_NP_6036","GPS_NP_6094","GPS_NP_6181","GPS_NP_6305","GPS_NP_6396","GPS_NP_6555","GPS_NP_6623","GPS_NP_6701","GPS_NP_6741","GPS_NP_6855","GPS_NP_6976","GPS_NP_8017","GPS_NP_8019","GPS_NP_8024","GPS_NP_8036","GPS_NP_8042","GPS_NP_8052","GPS_NP_8081","GPS_NP_8088","GPS_NP_8101","GPS_NP_8104","GPS_NP_8105","GPS_NP_8108","GPS_NP_8113","GPS_NP_8142","GPS_NP_8146","GPS_NP_8167","GPS_NP_8174","GPS_NP_8178","GPS_NP_8182","GPS_NP_8185","GPS_NP_8190","GPS_NP_8224","GPS_NP_8227","GPS_NP_8230","GPS_NP_8235","GPS_NP_8244","GPS_NP_8265","GPS_NP_8274","GPS_NP_8278","GPS_NP_9018","GPS_NP_9025","GPS_NP_9027","GPS_NP_9038","GPS_NP_9044","GPS_NP_9062","GPS_NP_9067","GPS_NP_9073","GPS_NP_9080","GPS_NP_9087","GPS_NP_9094","GPS_NP_9095","GPS_NP_9121","GPS_NP_9135","GPS_NP_9141","GPS_NP_9149","GPS_NP_9151","GPS_NP_9153","GPS_NP_9154","GPS_NP_9157","GPS_NP_9161","GPS_NP_9170"
"marR_2","","MarR family transcriptional regulator","100","100","1","1","3673","","","","284","710","355","16288_3#7_01665","17138_5#50_02040","16288_7#10_01692","16288_7#12_00909","16288_7#20_01764","16288_3#12_01960","16288_3#14_01550","16288_8#60_01654","16288_3#34_01661","16288_3#43_01604","17138_5#56_01212","16288_7#55_01517","16288_7#74_01432","16288_7#82_00052","16288_7#83_01824","16288_8#40_01658","16288_8#44_01497","16288_8#47_01507","16288_8#50_01651","16288_3#71_01904","16288_3#81_01723","16288_3#54_00774","16288_4#43_01356","16288_4#49_01978","16288_4#52_01987","16288_4#59_01049","16288_4#69_01523","16288_4#73_01062","16288_4#83_00369","16288_5#5_02009","16288_5#46_01655","16288_5#19_01937","16288_5#23_01830","16288_5#31_01789","16288_5#33_00708","16288_5#40_00308","16288_5#44_01795","16288_5#45_01464","16288_5#54_01741","16288_5#60_01844","16288_5#75_00046","17138_5#13_01777","16288_6#15_00771","16288_6#30_01243","17138_5#31_02074","16288_6#49_01252","17138_5#34_01373","16288_6#73_01290","16288_8#64_01518","28832_1#91_02012","28832_1#9_01932","28832_1#113_01993","28832_1#125_01796","28832_1#324_02196","28832_1#160_01287","28832_1#245_01735","28832_1#116_02019","28832_1#145_02020","28832_1#229_02131","28832_1#253_02031","28832_1#340_01872","29102_1#74_01951","28832_1#265_02186","29102_1#189_01811","29102_1#200_02003","29102_1#43_01910","29102_1#185_02101","29102_1#270_02085","29102_1#14_01736","29102_1#144_01904","29102_1#133_01655","29102_1#217_01879","29102_1#290_01873","29102_1#108_01962","29102_1#320_01835","29102_1#183_02161","29102_1#125_01990","29102_1#186_02045","28832_1#134_01915","28832_1#278_02019","29102_1#101_01898","29102_1#97_02148","29102_1#41_01828","28832_1#223_01916","29102_1#213_01982","28832_1#189_01928","29102_1#71_01892","29102_1#57_01964","29102_1#230_00935","29102_1#209_02010","29102_1#227_01758","29102_1#33_01979","28832_1#280_01647","28832_1#162_02058","28832_1#332_01915","28832_1#273_02107","29102_1#167_01779","29102_1#90_02140","28832_1#157_01612","29102_1#54_01965"
"group_1032","","integral membrane protein","100","100","1","1","3672","","","","257","401","352","16288_3#7_01666","17138_5#50_02039","16288_7#10_01691","16288_7#12_00908","16288_7#20_01765","16288_3#12_01961","16288_3#14_01549","16288_8#60_01655","16288_3#34_01660","16288_3#43_01605","17138_5#56_01211","16288_7#55_01515","16288_7#74_01433","16288_7#82_00051","16288_7#83_01825","16288_8#40_01659","16288_8#44_01498","16288_8#47_01508","16288_8#50_01652","16288_3#71_01905","16288_3#81_01722","16288_3#54_00775","16288_4#43_01354","16288_4#49_01979","16288_4#52_01988","16288_4#59_01050","16288_4#69_01524","16288_4#73_01061","16288_4#83_00368","16288_5#5_02010","16288_5#46_01656","16288_5#19_01938","16288_5#23_01831","16288_5#31_01788","16288_5#33_00710","16288_5#40_00307","16288_5#44_01794","16288_5#45_01465","16288_5#54_01742","16288_5#60_01845","16288_5#75_00045","17138_5#13_01778","16288_6#15_00772","16288_6#30_01244","17138_5#31_02073","16288_6#49_01253","17138_5#34_01374","16288_6#73_01291","16288_8#64_01517","28832_1#91_02013","28832_1#9_01931","28832_1#113_01994","28832_1#125_01795","28832_1#324_02197","28832_1#160_01288","28832_1#245_01736","28832_1#116_02018","28832_1#145_02021","28832_1#229_02132","28832_1#253_02033","28832_1#340_01874","29102_1#74_01950","28832_1#265_02185","29102_1#189_01810","29102_1#200_02004","29102_1#43_01909","29102_1#185_02102","29102_1#270_02086","29102_1#14_01737","29102_1#144_01905","29102_1#133_01654","29102_1#217_01880","29102_1#290_01874","29102_1#108_01961","29102_1#320_01836","29102_1#183_02160","29102_1#125_01991","29102_1#186_02044","28832_1#134_01916","28832_1#278_02020","29102_1#101_01899","29102_1#97_02149","29102_1#41_01829","28832_1#223_01917","29102_1#213_01981","28832_1#189_01929","29102_1#71_01891","29102_1#57_01963","29102_1#230_00936","29102_1#209_02009","29102_1#227_01759","29102_1#33_01980","28832_1#280_01648","28832_1#162_02059","28832_1#332_01916","28832_1#273_02108","29102_1#167_01780","29102_1#90_02141","28832_1#157_01611","29102_1#54_01964"
"thiM_1","","hydroxyethylthiazole kinase","100","100","1","1","5536","","","","425","803","799","16288_3#7_00331","17138_5#50_01363","16288_7#10_00258","16288_7#12_00228","16288_7#20_00452","16288_3#12_00888","16288_3#14_01916","16288_8#60_00683","16288_3#34_01026","16288_3#43_00696","17138_5#56_01441","16288_7#55_00431","16288_7#74_01222","16288_7#82_01459","16288_7#83_00384","16288_8#40_00318","16288_8#44_00753","16288_8#47_00554","16288_8#50_00121","16288_3#71_00538","16288_3#81_01333","16288_3#54_00548","16288_4#43_00627","16288_4#49_01711","16288_4#52_00349","16288_4#59_00978","16288_4#69_00928","16288_4#73_00247","16288_4#83_00530","16288_5#5_00976","16288_5#46_01700","16288_5#19_00776","16288_5#23_01901","16288_5#31_00156","16288_5#33_01879","16288_5#40_01914","16288_5#44_00145","16288_5#45_00541","16288_5#54_01014","16288_5#60_01025","16288_5#75_00385","17138_5#13_00413","16288_6#15_01385","16288_6#30_00339","17138_5#31_00200","16288_6#49_00308","17138_5#34_02085","16288_6#73_00166","16288_8#64_00511","28832_1#91_00581","28832_1#9_00083","28832_1#113_00786","28832_1#125_01860","28832_1#324_00943","28832_1#160_01954","28832_1#245_01280","28832_1#116_00352","28832_1#145_00332","28832_1#229_01635","28832_1#253_00482","28832_1#340_00264","29102_1#74_01830","28832_1#265_01765","29102_1#189_01009","29102_1#200_01607","29102_1#43_00631","29102_1#185_01969","29102_1#270_00044","29102_1#14_00849","29102_1#144_00699","29102_1#133_01103","29102_1#217_00317","29102_1#290_00316","29102_1#108_00327","29102_1#320_01035","29102_1#183_00257","29102_1#125_01896","29102_1#186_00082","28832_1#134_00316","28832_1#278_02246","29102_1#101_00384","29102_1#97_00621","29102_1#41_00577","28832_1#223_01418","29102_1#213_00183","28832_1#189_01767","29102_1#71_00181","29102_1#57_01784","29102_1#230_00354","29102_1#209_01390","29102_1#227_01621","29102_1#33_00156","28832_1#280_00217","28832_1#162_01118","28832_1#332_00130","28832_1#273_01259","29102_1#167_01440","29102_1#90_01232","28832_1#157_00796","29102_1#54_00860"
"group_1074","","hypothetical protein","100","100","1","1","5339","","","","128","335","305","16288_3#7_00494","17138_5#50_01486","16288_7#10_01511","16288_7#12_01902","16288_7#20_01603","16288_3#12_01396","16288_3#14_00677","16288_8#60_01160","16288_3#34_00290","16288_3#43_00799","17138_5#56_02080","16288_7#55_01368","16288_7#74_01737","16288_7#82_01327","16288_7#83_02066","16288_8#40_00965","16288_8#44_02022","16288_8#47_01870","16288_8#50_00790","16288_3#71_02019","16288_3#81_01424","16288_3#54_01695","16288_4#43_01502","16288_4#49_00729","16288_4#52_01710","16288_4#59_02044","16288_4#69_01048","16288_4#73_01863","16288_4#83_01500","16288_5#5_00576","16288_5#46_00241","16288_5#19_01821","16288_5#23_01503","16288_5#31_01066","16288_5#33_01774","16288_5#40_01527","16288_5#44_01524","16288_5#45_01199","16288_5#54_00881","16288_5#60_01273","16288_5#75_01466","17138_5#13_00578","16288_6#15_01748","16288_6#30_01768","17138_5#31_00013","16288_6#49_02040","17138_5#34_01572","16288_6#73_01233","16288_8#64_01780","28832_1#91_00416","28832_1#9_01372","28832_1#113_00601","28832_1#125_01631","28832_1#324_01901","28832_1#160_00419","28832_1#245_01114","28832_1#116_00183","28832_1#145_00095","28832_1#229_00809","28832_1#253_01310","28832_1#340_01963","29102_1#74_01056","28832_1#265_01411","29102_1#189_00221","29102_1#200_00354","29102_1#43_01618","29102_1#185_00485","29102_1#270_00766","29102_1#14_01472","29102_1#144_00884","29102_1#133_01486","29102_1#217_00095","29102_1#290_00095","29102_1#108_02106","29102_1#320_01258","29102_1#183_00091","29102_1#125_01545","29102_1#186_01537","28832_1#134_00483","28832_1#278_01829","29102_1#101_00220","29102_1#97_00788","29102_1#41_00744","28832_1#223_01397","29102_1#213_01724","28832_1#189_00869","29102_1#71_00013","29102_1#57_01357","29102_1#230_00673","29102_1#209_01622","29102_1#227_02083","29102_1#33_01561","28832_1#280_00050","28832_1#162_00935","28832_1#332_00367","28832_1#273_01789","29102_1#167_00394","29102_1#90_01108","28832_1#157_02101","29102_1#54_00055"
"group_1085","","translation factor","100","100","1","1","2583","","","","116","779","162","16288_3#7_00951","17138_5#50_01226","16288_7#10_00127","16288_7#12_00649","16288_7#20_00982","16288_3#12_00808","16288_3#14_01417","16288_8#60_01258","16288_3#34_01298","16288_3#43_01072","17138_5#56_00288","16288_7#55_00589","16288_7#74_00989","16288_7#82_01029","16288_7#83_00727","16288_8#40_01287","16288_8#44_00655","16288_8#47_01386","16288_8#50_00612","16288_3#71_00909","16288_3#81_00847","16288_3#54_00838","16288_4#43_01079","16288_4#49_00805","16288_4#52_00719","16288_4#59_00572","16288_4#69_00649","16288_4#73_00124","16288_4#83_00685","16288_5#5_01209","16288_5#46_00933","16288_5#19_01085","16288_5#23_00739","16288_5#31_00736","16288_5#33_00451","16288_5#40_00185","16288_5#44_01114","16288_5#45_00275","16288_5#54_00247","16288_5#60_00349","16288_5#75_01105","17138_5#13_01133","16288_6#15_01074","16288_6#30_00893","17138_5#31_01602","16288_6#49_00700","17138_5#34_00536","16288_6#73_00640","16288_8#64_00124","28832_1#91_00083","28832_1#9_01538","28832_1#113_01355","28832_1#125_00854","28832_1#324_01350","28832_1#160_01630","28832_1#245_00651","28832_1#116_00826","28832_1#145_00563","28832_1#229_00630","28832_1#253_01682","28832_1#340_00336","29102_1#74_00610","28832_1#265_01031","29102_1#189_01141","29102_1#200_00906","29102_1#43_01587","29102_1#185_01302","29102_1#270_01471","29102_1#14_02151","29102_1#144_00072","29102_1#133_00235","29102_1#217_00507","29102_1#290_01574","29102_1#108_01691","29102_1#320_00168","29102_1#183_01619","29102_1#125_00142","29102_1#186_00451","28832_1#134_01609","28832_1#278_00871","29102_1#101_01211","29102_1#97_01103","29102_1#41_00506","28832_1#223_00979","29102_1#213_02131","28832_1#189_00313","29102_1#71_00414","29102_1#57_01031","29102_1#230_00254","29102_1#209_00117","29102_1#227_00821","29102_1#33_00362","28832_1#280_01477","28832_1#162_00585","28832_1#332_00990","28832_1#273_00279","29102_1#167_01022","29102_1#90_01737","28832_1#157_01792","29102_1#54_00373"
"lytB_3","","choline binding protein E CbpE","100","100","1","1","5299","","","","311","1895","1859","16288_3#7_01481","17138_5#50_01056","16288_7#10_01996","16288_7#12_01016","16288_7#20_01577","16288_3#12_01369","16288_3#14_00649","16288_8#60_01133","16288_3#34_00150","16288_3#43_00771","17138_5#56_01584","16288_7#55_01258","16288_7#74_00160","16288_7#82_01302","16288_7#83_01553","16288_8#40_00937","16288_8#44_01256","16288_8#47_01952","16288_8#50_00818","16288_3#71_01586","16288_3#81_01947","16288_3#54_01801","16288_4#43_01879","16288_4#49_01393","16288_4#52_01814","16288_4#59_01739","16288_4#69_01255","16288_4#73_01213","16288_4#83_01474","16288_5#5_00603","16288_5#46_00215","16288_5#19_02006","16288_5#23_01477","16288_5#31_01041","16288_5#33_01409","16288_5#40_00653","16288_5#44_01462","16288_5#45_01172","16288_5#54_00907","16288_5#60_01977","16288_5#75_01442","17138_5#13_00606","16288_6#15_01905","16288_6#30_01054","17138_5#31_01271","16288_6#49_00809","17138_5#34_00983","16288_6#73_01761","16288_8#64_00949","28832_1#91_00386","28832_1#9_01345","28832_1#113_00573","28832_1#125_01604","28832_1#324_02073","28832_1#160_00391","28832_1#245_02041","28832_1#116_00154","28832_1#145_00068","28832_1#229_00836","28832_1#253_01283","28832_1#340_01171","29102_1#74_01084","28832_1#265_02071","29102_1#189_00193","29102_1#200_00381","29102_1#43_01321","29102_1#185_00513","29102_1#270_00738","29102_1#14_01443","29102_1#144_00912","29102_1#133_01513","29102_1#217_00068","29102_1#290_00068","29102_1#108_02138","29102_1#320_01232","29102_1#183_00061","29102_1#125_01518","29102_1#186_01510","28832_1#134_00510","28832_1#278_01772","29102_1#101_00194","29102_1#97_01926","29102_1#41_02002","28832_1#223_01811","29102_1#213_01697","28832_1#189_00842","29102_1#71_01812","29102_1#57_01330","29102_1#230_00700","29102_1#209_01506","29102_1#227_01103","29102_1#33_01534","28832_1#280_00023","28832_1#162_00908","28832_1#332_00394","28832_1#273_01815","29102_1#167_00367","29102_1#90_01081","28832_1#157_01302","29102_1#54_00082"
"phtE-truncation","","pneumococcal histidine triad protein E","100","100","1","1","2412","","","","245","635","395","16288_3#7_01618","17138_5#50_01906","16288_7#10_00530","16288_7#12_01816","16288_7#20_01436","16288_3#12_01259","16288_3#14_01095","16288_8#60_01079","16288_3#34_01534","16288_3#43_01197","17138_5#56_01939","16288_7#55_01428","16288_7#74_01609","16288_7#82_01539","16288_7#83_00976","16288_8#40_02106","16288_8#44_01151","16288_8#47_00673","16288_8#50_01745","16288_3#71_00748","16288_3#81_01604","16288_3#54_00928","16288_4#43_01429","16288_4#49_01753","16288_4#52_01698","16288_4#59_00484","16288_4#69_00915","16288_4#73_01227","16288_4#83_00959","16288_5#5_01704","16288_5#46_01460","16288_5#19_01475","16288_5#23_01810","16288_5#31_01632","16288_5#33_01622","16288_5#40_01725","16288_5#44_01246","16288_5#45_01729","16288_5#54_01474","16288_5#60_01223","16288_5#75_02117","17138_5#13_01747","16288_6#15_01733","16288_6#30_01182","17138_5#31_01338","16288_6#49_01168","17138_5#34_01828","16288_6#73_00952","16288_8#64_01040","28832_1#91_00316","28832_1#9_01273","28832_1#113_01765","28832_1#125_02002","28832_1#324_01275","28832_1#160_01454","28832_1#245_02017","28832_1#116_00076","28832_1#145_01567","28832_1#229_00900","28832_1#253_01736","28832_1#340_01099","29102_1#74_02121","28832_1#265_00956","29102_1#189_00121","29102_1#200_01912","29102_1#43_01260","29102_1#185_00586","29102_1#270_00664","29102_1#14_01670","29102_1#144_02021","29102_1#133_00447","29102_1#217_02045","29102_1#290_01978","29102_1#108_02016","29102_1#320_01894","29102_1#183_01842","29102_1#125_01444","29102_1#186_01438","28832_1#134_02052","28832_1#278_01931","29102_1#101_00124","29102_1#97_01029","29102_1#41_01885","28832_1#223_02066","29102_1#213_01465","28832_1#189_00627","29102_1#71_00488","29102_1#57_00871","29102_1#230_00770","29102_1#209_01432","29102_1#227_01031","29102_1#33_01204","28832_1#280_01402","28832_1#162_00659","28832_1#332_01673","28832_1#273_01533","29102_1#167_01871","29102_1#90_01463","28832_1#157_01228","29102_1#54_00154"
"nfrA2","","nitroreductase, NADPH-flavin oxidoreductase","100","100","1","1","3224","","","","314","722","694","16288_3#7_00874","17138_5#50_01742","16288_7#10_00282","16288_7#12_01185","16288_7#20_00153","16288_3#12_00742","16288_3#14_00117","16288_8#60_00503","16288_3#34_00414","16288_3#43_00369","17138_5#56_00865","16288_7#55_01012","16288_7#74_02101","16288_7#82_01267","16288_7#83_01079","16288_8#40_00781","16288_8#44_02147","16288_8#47_00954","16288_8#50_00499","16288_3#71_00212","16288_3#81_00134","16288_3#54_01144","16288_4#43_00899","16288_4#49_01531","16288_4#52_00227","16288_4#59_00007","16288_4#69_01853","16288_4#73_00432","16288_4#83_00860","16288_5#5_01063","16288_5#46_02134","16288_5#19_00433","16288_5#23_00063","16288_5#31_00125","16288_5#33_00186","16288_5#40_00098","16288_5#44_00821","16288_5#45_00690","16288_5#54_00793","16288_5#60_01589","16288_5#75_00629","17138_5#13_00162","16288_6#15_00377","16288_6#30_00557","17138_5#31_01071","16288_6#49_01508","17138_5#34_01203","16288_6#73_00061","16288_8#64_01684","28832_1#91_00988","28832_1#9_00917","28832_1#113_01007","28832_1#125_01424","28832_1#324_00616","28832_1#160_01073","28832_1#245_00170","28832_1#116_01276","28832_1#145_01334","28832_1#229_01417","28832_1#253_00195","28832_1#340_00667","29102_1#74_00156","28832_1#265_00693","29102_1#189_00374","29102_1#200_00066","29102_1#43_00877","29102_1#185_00188","29102_1#270_00957","29102_1#14_00314","29102_1#144_00479","29102_1#133_01196","29102_1#217_00897","29102_1#290_01489","29102_1#108_00548","29102_1#320_00693","29102_1#183_00944","29102_1#125_00513","29102_1#186_00858","28832_1#134_00186","28832_1#278_00697","29102_1#101_00793","29102_1#97_00258","29102_1#41_00143","28832_1#223_00581","29102_1#213_02102","28832_1#189_01406","29102_1#71_01082","29102_1#57_01139","29102_1#230_01454","29102_1#209_00531","29102_1#227_00161","29102_1#33_01399","28832_1#280_01754","28832_1#162_00155","28832_1#332_01440","28832_1#273_01041","29102_1#167_01159","29102_1#90_00109","28832_1#157_01381","29102_1#54_01431"
"prmA","","ribosomal protein methyltransferase","100","100","1","1","3312","","","","950","953","951","16288_3#7_00820","17138_5#50_01439","16288_7#10_00335","16288_7#12_01538","16288_7#20_00102","16288_3#12_01716","16288_3#14_01664","16288_8#60_00448","16288_3#34_00361","16288_3#43_00318","17138_5#56_01097","16288_7#55_00981","16288_7#74_00691","16288_7#82_00707","16288_7#83_01267","16288_8#40_01207","16288_8#44_01730","16288_8#47_01929","16288_8#50_00442","16288_3#71_00628","16288_3#81_00186","16288_3#54_01597","16288_4#43_00472","16288_4#49_00438","16288_4#52_00560","16288_4#59_01581","16288_4#69_00529","16288_4#73_00364","16288_4#83_01293","16288_5#5_00760","16288_5#46_00652","16288_5#19_00379","16288_5#23_00906","16288_5#31_01387","16288_5#33_00133","16288_5#40_00045","16288_5#44_00767","16288_5#45_00923","16288_5#54_00843","16288_5#60_00755","16288_5#75_00681","17138_5#13_00110","16288_6#15_00655","16288_6#30_01546","17138_5#31_00998","16288_6#49_00922","17138_5#34_01033","16288_6#73_00580","16288_8#64_00590","28832_1#91_00925","28832_1#9_00864","28832_1#113_01644","28832_1#125_01335","28832_1#324_00561","28832_1#160_01016","28832_1#245_00117","28832_1#116_01908","28832_1#145_01278","28832_1#229_00092","28832_1#253_01103","28832_1#340_00613","29102_1#74_00105","28832_1#265_00639","29102_1#189_00426","29102_1#200_01711","29102_1#43_00825","29102_1#185_00105","29102_1#270_00903","29102_1#14_00627","29102_1#144_01630","29102_1#133_01143","29102_1#217_01690","29102_1#290_00486","29102_1#108_01560","29102_1#320_01966","29102_1#183_01953","29102_1#125_00568","29102_1#186_01706","28832_1#134_00239","28832_1#278_00645","29102_1#101_00730","29102_1#97_00311","29102_1#41_00090","28832_1#223_00530","29102_1#213_01393","28832_1#189_01727","29102_1#71_01136","29102_1#57_01406","29102_1#230_01718","29102_1#209_00585","29102_1#227_00110","29102_1#33_00876","28832_1#280_00920","28832_1#162_00104","28832_1#332_01384","28832_1#273_02162","29102_1#167_01289","29102_1#90_00196","28832_1#157_02174","29102_1#54_01661"
"group_1199","","Pneumococcal histidine triad protein D precursor","100","100","1","1","2410","","","","311","644","611","16288_3#7_01619","17138_5#50_01905","16288_7#10_00529","16288_7#12_01815","16288_7#20_01437","16288_3#12_01260","16288_3#14_01096","16288_8#60_01078","16288_3#34_01533","16288_3#43_01198","17138_5#56_01940","16288_7#55_01427","16288_7#74_01610","16288_7#82_01538","16288_7#83_00975","16288_8#40_02105","16288_8#44_01150","16288_8#47_00674","16288_8#50_01744","16288_3#71_00749","16288_3#81_01603","16288_3#54_00929","16288_4#43_01431","16288_4#49_01754","16288_4#52_01697","16288_4#59_00483","16288_4#69_00914","16288_4#73_01228","16288_4#83_00960","16288_5#5_01706","16288_5#46_01459","16288_5#19_01474","16288_5#23_01809","16288_5#31_01631","16288_5#33_01621","16288_5#40_01724","16288_5#44_01245","16288_5#45_01728","16288_5#54_01475","16288_5#60_01222","16288_5#75_02116","17138_5#13_01746","16288_6#15_01732","16288_6#30_01183","17138_5#31_01339","16288_6#49_01167","17138_5#34_01827","16288_6#73_00951","16288_8#64_01041","28832_1#91_00315","28832_1#9_01272","28832_1#113_01766","28832_1#125_02001","28832_1#324_01273","28832_1#160_01455","28832_1#245_02016","28832_1#116_00075","28832_1#145_01566","28832_1#229_00901","28832_1#253_01737","28832_1#340_01098","29102_1#74_02120","28832_1#265_00954","29102_1#189_00120","29102_1#200_01911","29102_1#43_01259","29102_1#185_00587","29102_1#270_00663","29102_1#14_01669","29102_1#144_02020","29102_1#133_00446","29102_1#217_02044","29102_1#290_01977","29102_1#108_02015","29102_1#320_01895","29102_1#183_01841","29102_1#125_01443","29102_1#186_01437","28832_1#134_02053","28832_1#278_01932","29102_1#101_00123","29102_1#97_01028","29102_1#41_01884","28832_1#223_02065","29102_1#213_01466","28832_1#189_00628","29102_1#71_00489","29102_1#57_00870","29102_1#230_00771","29102_1#209_01431","29102_1#227_01030","29102_1#33_01205","28832_1#280_01401","28832_1#162_00660","28832_1#332_01672","28832_1#273_01532","29102_1#167_01870","29102_1#90_01462","28832_1#157_01227","29102_1#54_00155"
